,clusters,mean
TPRG1,3,0.4465496112939376
TP63,0,0.015634073115164914
FGF12,6,0.014228219405716273
MB21D2,9,0.06281108589308608
HES1,10,0.015871327819136197
ATP13A3,3,0.14531952789998706
MUC4,19,0.0031294888565774575
TFRC,15,0.07622979011999016
TCTEX1D2,1,0.0295934838169676
TM4SF19,0,0.009606868487392688
SPON2,7,0.1412075372763428
FGFR3,19,0.02402012073689529
NSD2,15,0.14119309421867224
C4orf48,13,0.00985851943868311
STX18-AS1,4,0.06954977338397451
AC005599.1,6,0.01006790236585393
CLNK,6,0.05304651421611149
AC092546.1,21,0.028375217242115815
LINC00504,16,0.020108105319488426
AC098829.1,11,0.04360662012126067
LDB2,16,0.2280897722739605
AC093898.1,0,0.012719423341729355
SLIT2,3,0.013897424680739262
LINC02506,0,0.006648441123840021
DTHD1,12,0.07932577592585646
AC104078.2,12,0.010469838390764513
TMEM156,23,0.13188455937026428
RBM47,8,0.5434955328014733
TXK,22,0.2513753716735416
CWH43,3,0.0006600902246110513
AC105384.1,1,0.0010818109987744888
KIT,15,0.0029390172406514033
KIAA1211,6,0.005666329604062397
IGFBP7,6,0.0352226270250742
AC116049.2,18,0.002693617989156866
AFP,5,0.004532307052853586
PARM1,6,0.005480938148797071
AC096759.1,14,0.0016198044647032285
CDKL2,7,0.002688492040375386
CNOT6L,4,0.3405446574530076
LINC01088,18,0.011340474111891874
ANTXR2,4,0.1543829659973219
CFAP299,14,0.0074119053106999535
RASGEF1B,10,0.12171871499415889
SCD5,1,0.018328390404615553
PLAC8,13,0.1403349654518445
GPAT3,17,0.02819566569445768
WDFY3,8,0.28690668769156435
ARHGAP24,8,0.13517830373683995
PTPN13,20,0.055706435794396714
AC093895.1,10,0.002815382549592249
SPP1,6,0.0067021196319915505
FAM13A,2,0.12493422224408068
SNCA,2,0.011712382805324469
CCSER1,6,0.13435717649911863
UNC5C,9,0.06160936758000761
LINC02267,14,0.007638270235914409
TSPAN5,16,0.1686125407270453
AP002026.1,20,0.07663683354358006
BANK1,6,0.02429928586803985
SLC39A8,23,0.05081121791928221
AC109361.2,1,0.0004796277179756698
LEF1,16,0.10776366233821918
ELOVL6,4,0.1191230110210766
AC098798.1,0,0.0002660755206892336
FAM241A,23,0.049513513312959785
NDST3,2,0.2237593902247937
PRSS12,0,0.0012045779579875054
NDNF,0,0.0005638170392615224
TNIP3,24,0.028426894260055412
AC093916.1,1,0.00812078607151882
AC109927.1,17,0.026639914527452332
AC097376.3,7,0.11062119117307034
LINC02432,10,0.017573913419069557
INPP4B,16,0.4290034259934133
AC139720.1,12,0.07080402655347315
AC107223.1,4,0.03183302987969719
AC109811.1,3,0.0010840636323592543
ZNF827,4,0.10383806916950195
AC069272.1,1,0.005926688460342248
AC002460.2,1,0.05069539314813634
IQCM,15,0.018488574935675458
AC023424.3,1,0.09474256535477409
TLR2,21,0.1258148307927023
PDGFC,10,0.21189560085716816
FNIP2,11,0.20458908419414343
MARCH1,17,0.20252613804457406
SPOCK3,2,0.004900102465545332
AC068989.1,19,0.003207285680369989
GALNTL6,9,0.028904336955303943
AC093801.1,10,0.0005155481434103556
ACSL1,3,0.2911568084091885
FRG1-DT,15,0.03417237163210438
