,clusters,mean
NLGN1,2,0.14954059896441485
ZMAT3,11,0.007241244255539499
CCDC39,1,0.010022006650819856
SOX2,15,0.038985955520421535
LAMP3,5,0.16136464990170507
C3orf70,12,0.0014342563135495486
LIPH,2,0.008759939995616042
BCL6,7,0.01702645954216774
TP63,0,0.0028120767789112915
LEPREL1,8,0.18160617991277897
TMEM207,20,0.00041303904218733693
UTS2B,10,0.0006871435115414315
MUC4,11,0.0009214413107435513
TM4SF19,13,0.006608697183668831
CEP19,19,0.001320180193946969
PIGZ,6,0.0008976721005095275
IQCG,16,0.027095496757066184
SPON2,2,0.0019951456937690446
SLBP,4,0.06196385086472425
TMEM129,8,0.015769228124086945
HAUS3,13,0.010528651634560286
TNIP2,10,0.010494605738646905
CYTL1,13,0.00826301028402566
CRMP1,7,0.007300410417156369
PSAPL1,5,0.00014432863511984465
WDR1,15,0.052832854629280515
HS3ST1,7,0.00982707677645758
PROM1,0,0.002472456399718416
LDB2,21,0.015345352642911172
SLIT2,16,0.29296537137369316
KCNIP4,10,0.02279965758361085
SLC34A2,19,0.3386814496106037
CCKAR,3,0.00014240302834688526
PCDH7,7,0.10423275617500534
DTHD1,2,0.0004285710382284819
TLR10,1,0.0002509901187956981
TLR1,15,0.0012189744851489293
TLR6,16,0.0007521883991002167
KLB,19,0.0021869657720988453
DCAF4L1,1,0.0001075742535391209
YIPF7,18,0.0012980235015249688
GABRA4,14,0.00011456543764533607
COMMD8,13,0.00816325678193582
KDR,2,0.00924351437627665
NMU,5,0.00814520837757555
HOPX,10,0.05359881569085389
SPINK2,19,0.00023946811756812172
LPHN3,10,0.098727821722722
TMPRSS11D,18,0.001400293001946115
TMPRSS11F,10,0.0012868595901261311
UGT2A3,14,0.011683350215715626
UGT2B7,5,0.10354620162583388
IGJ,18,0.00024276222483855917
SLC4A4,2,0.38950126288458403
NPFFR2,21,9.603917735226687e-05
ADAMTS3,10,0.05378561808252692
IL8,0,0.0009839378941345568
CXCL6,0,0.0011157951279795323
CXCL1,7,0.006404300932897369
PPBP,18,0.0006456911544909577
CXCL5,2,0.006324276526295606
CXCL3,2,0.006874571103544539
CXCL2,2,0.010759774856151455
EREG,8,0.00031628395086814274
NAAA,2,0.00361241323904034
SDAD1,0,0.03837031555242791
AC110615.1,5,0.0003863965195328799
CXCL10,14,0.0001569580694763319
ANTXR2,10,0.03335939449358226
C4orf22,17,0.025476198483983897
BMP3,8,0.1667014631028674
HPSE,1,0.00197103121085001
HSD17B13,21,0.00567875505327017
GPRIN3,10,0.0021021649899530394
RP11-763F8.1,5,0.0001675918120452111
BMPR1B,0,0.023320104214788574
UNC5C,1,0.03668489708966542
STPG2,8,0.043317693999906516
ADH1A,12,0.0005018585076794192
TRMT10A,15,0.006884772715808466
DDIT4L,1,0.0007100226094485689
SLC9B1,13,0.006755353121050212
BDH2,4,0.02195703527673166
CENPE,3,0.054553209587159465
TACR3,5,0.02695011224310224
CXXC4,14,0.053658117182158356
ARHGEF38,2,0.05836588368962237
NPNT,15,0.07081157431376621
LEF1,3,0.013059084167862983
COL25A1,17,0.013054596532289303
ARSJ,7,0.007906338547862319
PRSS12,2,0.010273176104812293
