C,Z,Pval,FDR,module,gene
0.0061015145175895335,2.4694465661160847,0.006766111339673519,0.012851893038489706,-1,LEPROT
0.005254620209576374,2.4688689609794428,0.006777042112292582,0.01287165916358728,-1,ZNF551
0.005547349533834651,2.4674779440368755,0.006803430185970702,0.012920778061569155,-1,AC005993.1
0.005674977036611559,2.4672422010260435,0.006807911296444675,0.012928287827229212,-1,IZUMO4
0.005490178842390407,2.467162262285047,0.006809431400281167,0.012930173886210598,-1,AC132192.2
0.005987620450937338,2.4663139941541807,0.0068255804289015145,0.012959835820552016,12,COL4A4
0.004764511137473593,2.466014414456515,0.006831291799496706,0.012969676554572507,-1,AL139241.1
0.005771140962574812,2.4657384120226706,0.006836557414371954,0.01297806758067032,-1,DCUN1D1
0.005877667722728395,2.4657273145347647,0.006836769208823719,0.01297806758067032,-1,PDE12
0.005374379791043772,2.4656675403868076,0.0068379100921668315,0.012979229250594205,-1,PHAX
0.006029400027937218,2.46496758415384,0.006851282373907586,0.01300360570603436,-1,AXDND1
0.004377017935947369,2.4649333714502504,0.006851936580598123,0.01300384158942748,-1,TBL3
0.0060679688788615295,2.4647301153868186,0.006855824329471057,0.01301021368965202,-1,DEPDC4
0.003941248109084885,2.463980568335245,0.006870178019484261,0.013036444356644314,-1,AC026341.1
0.005213810201251594,2.4631215678845066,0.00688666035341987,0.01306670984400914,-1,SH3BP5L
0.011030092881635293,2.462703884566387,0.006894687390578604,0.013080928860167648,91,AP002370.2
0.005037587551107947,2.461981264280692,0.006908594219260307,0.013106300235518257,-1,USP39
0.0059245967499464425,2.461831117609714,0.00691148689821855,0.013110774350292596,-1,FAM199X
0.005229325885520549,2.4617628757457988,0.0069128019781633104,0.013112255371581472,-1,NKRF
0.005418998440751619,2.4614114809491796,0.00691957715957198,0.013124092125424085,-1,DNAJC10
0.005977165426333392,2.461126124541022,0.006925083379659279,0.01313352044620597,-1,RAP2C
0.004410452801934269,2.4609255002875434,0.006928956928978538,0.013139464984673145,-1,NPM2
0.009618239569154112,2.460908319325819,0.006929288739013618,0.013139464984673145,123,AC025423.4
0.005208557155310651,2.4607410706004496,0.006932519489506194,0.013144575471564866,-1,AC004494.1
0.005322182734273811,2.4594736796336614,0.006957044988850798,0.013190058485776847,-1,AGO3
0.005588574233060886,2.45886814190482,0.006968789871552791,0.0132113052115292,-1,TRAF3IP2
0.005760798278455485,2.4585458625967687,0.0069750478675964225,0.013222147518188381,-1,CMPK1
0.008844738206682702,2.4575509092015286,0.006994399110267857,0.013257806254199207,-1,AC244100.3
0.005428849822150402,2.4574986748495036,0.006995416344877968,0.013258710256195294,8,BAG5
0.0043027411527880545,2.4573951543271884,0.006997432734661094,0.01326150771361203,-1,CCDC78
0.005516154035165025,2.457350011047704,0.006998312203524808,0.013262150217182427,-1,ZSCAN26
0.005367382773601519,2.4572371234107497,0.007000511876259776,0.013265294280427694,-1,ATG9B
0.004430421619848991,2.4571920364658904,0.00700139058872985,0.013265934959218732,82,NRXN1
0.0059344218022630785,2.4568566064155752,0.007007930938679528,0.013277302138994513,-1,LINC01194
0.005311000367633885,2.4560978113183527,0.007022746131935326,0.01330434396136501,-1,MICALL2
0.008708685600130888,2.4556030347787043,0.007032421343380815,0.013321644846782601,-1,AC124283.3
0.0057782065638851705,2.4550158321640017,0.007043919184191118,0.013342153815420584,-1,UCHL3
0.004992215744084772,2.454994594825682,0.0070443353369163,0.013342153815420584,115,JTB
0.005702999004947964,2.4543939750783537,0.00705611366877634,0.013363430834151625,-1,FAM32A
0.00494538155058378,2.4542727615939732,0.007058492807765855,0.013366905001525414,-1,DMAP1
0.004839950630131962,2.4540521244033267,0.007062825220108483,0.013374077326664253,-1,ZNF70
0.005175453529812679,2.4538542805200256,0.0070667120604131755,0.013380404880438188,-1,PSMB3
0.004172964797281668,2.453430616153445,0.007075041718636366,0.013395143023965574,-1,AL022341.2
0.00538054929244106,2.452843068982235,0.0070866078126598925,0.013416005949302662,-1,VDAC2
0.005483773895918335,2.4521451267857524,0.007100368753494439,0.013441020507752838,-1,ARL13B
0.007871438183767236,2.4518414118163596,0.007106364292242133,0.013451332410315466,117,AC092839.1
0.00660649726197452,2.451763794689871,0.007107897223213489,0.013453196294673028,-1,AC090241.2
0.005304409935769104,2.451700574118763,0.007109146039155512,0.013453507549022999,133,MCPH1-AS1
0.005256368049764658,2.4516999599374323,0.007109158172223042,0.013453507549022999,98,IGHGP
0.0055976694266681015,2.4516283352537256,0.007110573233280943,0.013455147792372075,-1,COX7A2L
0.006528496554426218,2.4513250613739483,0.00711656765171757,0.01346545251025503,-1,LINC01675
0.005143872775597309,2.4511031887883936,0.007120955940761661,0.013472716872039351,-1,AP000345.2
0.004773712447269743,2.4506903454012097,0.007129127684632121,0.01348713778838853,-1,RTN4R
0.005022805612453859,2.4502740602772737,0.007137375929292591,0.01350170119711,71,ANKS3
0.007060417032302554,2.449658353181359,0.007149590941395805,0.01352376567570428,-1,KIF6
0.00507171615628449,2.449155039666626,0.007159589872552853,0.013541635261490246,7,RBM15
