"gene_name","module","kME"
"CFHR2","brown",0.292264668312139
"CLMN","brown",0.292043630173957
"GPHN","brown",0.291699237224397
"MAGI2","brown",0.291538250903629
"NADK2","brown",0.29127889676254
"ASL","brown",0.290746958443142
"AC026803.3","brown",0.29036736844019
"ANGPTL3","brown",0.289539502540461
"HLF","brown",0.289389782190368
"HAO2","brown",0.28886604045131
"LTBP1","brown",0.288762187949726
"NSUN6","brown",0.288662347579033
"HRG","brown",0.28853628080282
"DNAJC22","brown",0.287707319852597
"MREG","brown",0.286705571007899
"RAB17","brown",0.286433317569964
"IL1R1","brown",0.28641358244531
"DIP2C","brown",0.285967389719406
"SERPING1","brown",0.28578210974656
"HAAO","brown",0.285726280491046
"PDE11A","brown",0.285690064125538
"MET","brown",0.285564611496189
"RBPMS","brown",0.285155976714132
"TJP1","brown",0.284158143139629
"NR1I3","brown",0.283689263458298
"ARHGEF26","brown",0.283324991827274
"BCL2L14","brown",0.283181665820292
"VEGFA","brown",0.283046078674559
"BMERB1","brown",0.283005967665879
"RARRES2","brown",0.282837971641944
"AMBP","brown",0.282314073046028
"GATM","brown",0.281991493401733
"ARHGAP42","brown",0.281670728873848
"SPP2","brown",0.280852879083409
"ADRA1B","brown",0.2807548501328
"LINC01344","brown",0.280670505022541
"FGB","brown",0.280647225425873
"HGFAC","brown",0.280602323643494
"ADCY1","brown",0.28056853677518
"SLC22A9","brown",0.280526190873922
"TMPRSS6","brown",0.28036627036233
"MIR3936HG","brown",0.280310601044295
"AC019197.1","brown",0.280036467114881
"MOCOS","brown",0.279292006947299
"RORC","brown",0.279278123494172
"PPP1R3B","brown",0.279236329824772
"TTC38","brown",0.279235600563623
"CNTN3","brown",0.277580322661998
"TAT","brown",0.27705610437855
"PEMT","brown",0.276641770893187
"ACAD11","brown",0.276636005377149
"MFSD2A","brown",0.275708255027312
"LINC01428","brown",0.275565749992494
"MTHFS","brown",0.27485852226041
"RHPN2","brown",0.274635857964332
"CHST9","brown",0.274617814354904
"HABP2","brown",0.274177688145473
"PLS3","brown",0.273339099699949
"UGT2B10","brown",0.273188301155122
"NUGGC","brown",0.273175736133846
"AL109930.1","brown",0.273028466756481
"ZFHX4","brown",0.27218933273413
"MTHFD1","brown",0.271893532727182
"ABCD3","brown",0.27184675222734
"HOMER2","brown",0.27151216617024
"PROC","brown",0.271164205989925
"ZHX3","brown",0.271009864970881
"AC007221.1","brown",0.270897441672679
"RAPGEF4","brown",0.270614935840654
"HSD17B2","brown",0.270281841400885
"CYP4A11","brown",0.269928069336191
"SCN9A","brown",0.26974064055049
"AC007344.1","brown",0.269418669214161
"YAP1","brown",0.269327751915851
"IRS1","brown",0.26903319604586
"LINC01515","brown",0.267811627853593
"TOM1L1","brown",0.267482548672792
"NOL4","brown",0.267358851876576
"CDA","brown",0.266860215325901
"SOX6","brown",0.266672982511434
"AKR1C3","brown",0.265730278292742
"FRK","brown",0.265576256562643
"BPHL","brown",0.265526445443039
"CYP7B1","brown",0.265298475201952
"CDO1","brown",0.265292473311514
"TOX3","brown",0.264883478866735
"CDHR3","brown",0.264856706203239
"TRPV1","brown",0.264489644376284
"CFB","brown",0.264332741913023
"MASP1","brown",0.264316322490215
"PHLPP1","brown",0.264273116992661
"RNF43","brown",0.263663822523376
"SHPK","brown",0.263546624521514
"PROSER2","brown",0.263539039750952
"ABCA9","brown",0.263433858510156
"WWC1","brown",0.263387605832069
"MGMT","brown",0.263328476515988
"APOC3","brown",0.263110739486356
"RUNDC3B","brown",0.262924550361919
"PDZK1","brown",0.262844331492052
"PANK1","brown",0.262789582917572
"PAWR","brown",0.262695205033059
"MAOA","brown",0.262334364510356
"HP","brown",0.261519137586946
"ASGR2","brown",0.261259233729423
"BCO2","brown",0.260643892120942
"ADHFE1","brown",0.260210104992584
"OTC","brown",0.259373099634481
"APOA2","brown",0.259239627086461
"KCNJ3","brown",0.258636436257619
"SLC17A9","brown",0.258390057307481
