"gene_name","module","kME"
"EI24","blue",0.117893950510336
"CAMK2N1","blue",0.117759681365259
"TNFSF10","blue",0.11754645098325
"TMED7","blue",0.117422019030901
"DGAT2","blue",0.117388619804957
"CYP51A1","blue",0.117259956241731
"STT3A","blue",0.117053485569445
"HMGCR","blue",0.116717218540334
"MLF2","blue",0.116562342730507
"PCBP1","blue",0.116548693513615
"PRKAR1A","blue",0.116333466181301
"NPC2","blue",0.116296051967636
"EIF3I","blue",0.115963703532231
"ATP5B","blue",0.115852089087686
"JUND","blue",0.115574990467379
"TIMM13","blue",0.115465732843783
"GPAA1","blue",0.115419965153915
"OS9","blue",0.11541521036777
"SLC2A1","blue",0.115399599035642
"MARCKSL1","blue",0.115374149348273
"NME4","blue",0.115096628273196
"EIF4EBP2","blue",0.115078689038646
"SLC25A37","blue",0.114853658979105
"TMEM30A","blue",0.114817343644755
"TM4SF5","blue",0.114782506165913
"XBP1","blue",0.114637501471629
"MDH2","blue",0.114566111362093
"MPC2","blue",0.11441748260633
"LAMTOR4","blue",0.114319544968592
"NDUFA2","blue",0.114280176610258
"HMGCS2","blue",0.114199167092127
"TUFM","blue",0.114175895023489
"ALKBH7","blue",0.114015050982432
"IGFBP1","blue",0.113788410565174
"TRMT112","blue",0.11374910014021
"SLC43A1","blue",0.113724540005454
"HDLBP","blue",0.11368448484663
"TMPRSS6","blue",0.113217596511248
"COA3","blue",0.113156733016977
"HMGB2","blue",0.112642492257072
"NIPSNAP1","blue",0.112622699262437
"CTSL","blue",0.112558106131849
"SLC25A47","blue",0.112213836138047
"C12orf57","blue",0.112151531007008
"ERLIN1","blue",0.112139985720649
"RAD23A","blue",0.112134765698429
"NDUFS7","blue",0.112119630677453
"FKBP2","blue",0.112105608501092
"PRKCSH","blue",0.11209759456673
"LAMP1","blue",0.112093754799095
"YIF1A","blue",0.11195863019249
"NDUFB2","blue",0.111396561432576
"GRN","blue",0.111352108291799
"BLVRB","blue",0.110969417201743
"TMEM256","blue",0.110650280072619
"PCYT2","blue",0.11055222740435
"UBL5","blue",0.11038370854653
"PRELID1","blue",0.110268394492444
"ST6GAL1","blue",0.110235902873507
"ATF4","blue",0.110047582128787
"CSNK2B","blue",0.110033281788902
"NDUFV1","blue",0.109848088135826
"PRDX4","blue",0.109811625285487
"CLDN1","blue",0.109801455860405
"TMCO1","blue",0.109734648552009
"MYL4","blue",0.109385654906881
"ACSL1","blue",0.109352236610285
"EIF4G2","blue",0.109306376032443
"SMDT1","blue",0.109227661804647
"NID1","blue",0.108793997846926
"POLDIP2","blue",0.108755520547874
"AQP3","blue",0.108744961150021
"DYNLL1","blue",0.108577195480805
"RNASEK","blue",0.108481821270959
"SLC37A4","blue",0.108397948823379
"UROD","blue",0.10823572402244
"SLC2A2","blue",0.108188492903124
"ST13","blue",0.10784555257946
"NT5DC2","blue",0.107803262759351
"GSTA2","blue",0.107740922321893
"FAM162A","blue",0.107591759333299
"TMBIM1","blue",0.107303789560896
"CAPNS1","blue",0.107226805752087
"HSBP1","blue",0.107162055186401
"BLOC1S1","blue",0.10714092283871
"HMGA1","blue",0.10695590457287
"AUP1","blue",0.106899730157285
"CYC1","blue",0.106854267773348
"USMG5","blue",0.106771780414021
"SPARC","blue",0.106767852630071
"LMNA","blue",0.106596857444223
"GLRX5","blue",0.106507691479113
"RPN1","blue",0.106465471454537
"RNF181","blue",0.106438398811159
"NONO","blue",0.106392469377274
"GYPC","blue",0.106300706324691
"COL1A1","blue",0.106090622272331
"STARD10","blue",0.10593448655201
"PRRG3","blue",0.105887794210745
"CLUH","blue",0.105841503278015
"DRAP1","blue",0.105829666121938
"ATP5L","blue",0.105828031357864
"MST1","blue",0.105654612477334
"CYP8B1","blue",0.105572039773767
"VCP","blue",0.105491557921702
"DYNLL2","blue",0.105252855209961
"TMEM37","blue",0.105238994444038
"LONP1","blue",0.105202361532947
"C9orf78","blue",0.105060781355313
"PPP1CA","blue",0.105047107922992
"HNRNPK","blue",0.105041177425364
"APRT","blue",0.104996437880679
"GHITM","blue",0.104828816869091
"PSMA7","blue",0.104701099960363
"NDUFS6","blue",0.104619908414312
"ANAPC11","blue",0.104577045621949
"ACADS","blue",0.104498809865394
"GPX1","blue",0.104435939631472
"ATP5H","blue",0.104090192713171
"MCM4","blue",0.104071277661386
"SEC61B","blue",0.103841905610785
"SAR1A","blue",0.103787263923411
"PLTP","blue",0.103764503484422
"ACAA2","blue",0.103696452620919
"HNRNPA2B1","blue",0.103687844982634
"TCEB2","blue",0.103669092764343
"ATP5J2","blue",0.103592394510928
"TSPAN6","blue",0.103494348407817
"RHBDD2","blue",0.103288381355567
"ROMO1","blue",0.103174607941211
"CARHSP1","blue",0.103157404284108
"EID1","blue",0.10310639415531
"SDF4","blue",0.103063813430981
"ANK1","blue",0.103019914373851
"HAMP","blue",0.102972811158161
"RTN4","blue",0.10293973894532
"S100A4","blue",0.102915925161465
"PRG4","blue",0.102828364443663
"PYURF","blue",0.102638464830473
"ERH","blue",0.102405538522412
"GABARAP","blue",0.102306928090556
"CLPTM1L","blue",0.102268989632579
"DYNLRB1","blue",0.102203882905665
"PHB","blue",0.10218065971365
"TMED5","blue",0.102133708414811
"CLCN5","blue",0.102086540724035
"EIF5","blue",0.101857757244546
"NUCKS1","blue",0.101704275048482
"PTPLAD1","blue",0.101581599822721
"HMGN1","blue",0.101477362298856
"CDC42","blue",0.101454979979118
"KRT18","blue",0.10134247917073
"SCAND1","blue",0.101196937848371
"NDUFA11","blue",0.101152062689091
"NDUFC1","blue",0.10106605241111
"PLEKHJ1","blue",0.101035011638366
"C21orf33","blue",0.100931174017036
"RABAC1","blue",0.100748125724777
"ATP5G2","blue",0.10054778739544
"MRP63","blue",0.100361899624673
"PTMA","blue",0.100281030618312
"FKBP8","blue",0.10019555924469
"CENPB","blue",0.100120456363521
"ANXA6","blue",0.100091575375899
"EIF2AK1","blue",0.100011562783279
"CNBP","blue",0.0997957242371025
"NACA","blue",0.0997808994209098
"ISOC2","blue",0.0996718087664329
"GUCD1","blue",0.0994689391218348
"MCFD2","blue",0.0994502590042026
"MPDU1","blue",0.0994052140659246
"ETNK2","blue",0.0993639548550265
"TOMM7","blue",0.0993565722245206
"DUS1L","blue",0.0993469725878334
"NDUFA3","blue",0.0992634537136815
"CREB3L3","blue",0.0990543268932189
"YIPF3","blue",0.0987501504254996
"SOX12","blue",0.0985361314908728
"GRHPR","blue",0.0985188552880366
"GGH","blue",0.098479973963835
"APH1A","blue",0.0983800688605239
"RBP2","blue",0.0983254011650327
"TAPBP","blue",0.0983198297775341
"NDUFA1","blue",0.0982781447874117
"EPN1","blue",0.0981240495209428
"C19orf48","blue",0.0980814715746516
"RXRA","blue",0.098046000079902
"POLR2E","blue",0.0978152763811723
"RAB11B","blue",0.0978125027129475
"C8orf82","blue",0.0975596726470504
"B4GALT2","blue",0.0974149158696575
"PCBP2","blue",0.0971943551130179
"HADH","blue",0.0971598475606593
"LSR","blue",0.096995666742509
